No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft
,Nicolas Beaudin\beaudni01,ca,D,20,5-11,168,L/-,R,October 7 1999,,N/A,2018 CHI 1st (27)
27,Adam Boqvist\boqviad01,se,D,19,5-11,179,R/-,R,August 15 2000,4 G 9 A 13 P,"$925,000",2018 CHI 1st (8)
91,Drake Caggiula\caggidr01,ca,F,25,5-10,176,L/-,3,June 20 1994,9 G 6 A 15 P,"$1,500,000",
46-47,Lucas Carlsson\carlslu01,se,D,22,6-0,189,L/-,R,July 5 1997,0 G 1 A 1 P,"$792,500",2016 CHI 4th (110)
22,Ryan Carpenter\carpery01,us,F,29,6-0,200,R/-,4,January 18 1991,3 G 12 A 15 P,"$1,000,000",
50,Corey Crawford\crawfco01,ca,G,35,6-2,216,-/L,12,December 31 1984,15-20-3 2.79 GAA,"$5,000,000",2003 CHI 2nd (52)
77,Kirby Dach\dachki01,ca,F,19,6-4,197,R/-,R,January 21 2001,8 G 14 A 22 P,"$925,000",2019 CHI 1st (3)
12,Alex DeBrincat\debrial01,us,F,22,5-7,165,R/-,2,December 18 1997,18 G 24 A 42 P,"$800,000",2016 CHI 2nd (39)
38,Brandon Hagel\hagelbr01,ca,F,21,5-11,174,L/-,R,August 27 1998,,"$925,000",2016 BUF 6th (159)
36,Matthew Highmore\highmma01,ca,F,23,5-11,188,L/-,1,February 27 1996,2 G 4 A 6 P,"$817,500",
64,David Kampf\kampfda01,cz,F,25,6-2,188,L/-,2,January 12 1995,8 G 8 A 16 P,"$1,000,000",
88,Patrick Kane\kanepa01,us,F,31,5-10,177,L/-,12,November 19 1988,31 G 51 A 82 P,"$9,800,000",2007 CHI 1st (1)
2,Duncan Keith\keithdu01,ca,D,36,6-1,192,L/-,14,July 16 1983,2 G 23 A 25 P,"$3,500,000",2002 CHI 2nd (54)
68,Slater Koekkoek\koekksl01,ca,D,25,6-2,193,L/-,5,February 18 1994,1 G 8 A 9 P,"$925,000",2012 TBL 1st (10)
8,Dominik Kubalik\kubaldo01,cz,F,24,6-2,179,L/-,R,August 21 1995,29 G 16 A 45 P,"$925,000",2013 LAK 7th (191)
6,Olli Maatta\maattol01,fi,D,25,6-2,206,L/-,6,August 22 1994,4 G 13 A 17 P,"$4,083,300",2012 PIT 1st (22)
5,Connor Murphy\murphco02,us,D,26,6-4,212,R/-,6,March 26 1993,5 G 14 A 19 P,"$4,400,000",2011 PHX 1st (20)
92,Alexander Nylander\nylanal01,ca,F,21,6-1,192,R/-,3,March 2 1998,9 G 15 A 24 P,"$832,500",2016 BUF 1st (8)
20,Brandon Saad\saadbr01,us,F,27,6-1,206,L/-,8,October 27 1992,20 G 12 A 32 P,"$6,750,000",2011 CHI 2nd (43)
55,Nick Seeler\seeleni01,us,D,26,6-2,198,L/-,2,June 3 1993,0 G 1 A 1 P,"$750,000",2011 MIN 5th (131)
15,Zack Smith\smithza01,ca,F,31,6-2,208,L/-,11,April 5 1988,4 G 7 A 11 P,"$3,250,000",2008 OTT 3rd (79)
17,Dylan Strome\stromdy01,ca,F,22,6-3,200,L/-,3,March 7 1997,12 G 25 A 37 P,"$832,500",2015 ARI 1st (3)
30,Malcolm Subban\subbama01,ca,G,26,6-2,200,-/L,4,December 21 1993,0-0-0 0.00 GAA,"$850,000",2012 BOS 1st (24)
19,Jonathan Toews (C)\toewsjo01,ca,F,31,6-2,201,L/-,12,April 29 1988,18 G 40 A 58 P,"$9,800,000",2006 CHI 1st (3)